MP30_TEST_356P_T Side_Top_MIRROR DETECT	Bond Gap: 200 Microns
Time	Force (mN)	Averaged CDS (microns)
01:24:.428	-0.093274	186.255689
01:24:.713	-0.066356	187.387365
01:25:.010	-0.018271	188.382725
01:25:.326	-0.025445	189.388956
01:25:.647	-0.013510	190.513886
01:25:.926	-0.106741	191.693488
01:26:.237	-0.072380	192.674135
01:26:.559	-0.020558	193.763756
01:26:.860	-0.036381	194.991407
01:27:.167	-0.091050	196.080732
01:27:.466	-0.072185	197.194527
01:27:.780	-0.062872	198.359726
01:28:.087	-0.083971	199.547112
01:28:.381	-0.067667	200.642416
01:28:.681	-0.057397	201.782663
01:28:.970	-0.089512	202.926077
01:29:.267	-0.105390	204.064441
01:29:.564	-0.106286	205.193384
01:29:.877	-0.076181	206.319671
01:30:.180	-0.086502	207.509112
01:30:.494	-0.099470	208.758421
01:30:.810	-0.087163	209.934090
01:31:.112	-0.077491	211.151630
01:31:.426	-0.098587	212.417698
01:31:.725	-0.069981	213.563646
01:32:.031	-0.048310	214.760799
01:32:.348	-0.103691	215.934065
01:32:.666	-0.102237	217.205545
01:32:.950	-0.089169	218.384547
01:33:.254	-0.116192	219.502348
01:33:.568	-0.082550	220.679824
01:33:.855	-0.096136	221.882480
01:34:.165	-0.087418	222.959722
01:34:.480	-0.086988	224.173127
01:34:.784	0.132374	225.250468
01:35:.098	0.390456	226.310685
01:35:.402	0.377269	227.548735
01:35:.726	0.313079	228.760223
01:36:.033	0.234522	229.974873
01:36:.333	0.160365	231.182399
01:36:.613	0.122761	232.323136
01:36:.896	0.079295	233.425739
01:37:.243	0.176704	234.713565
01:37:.518	0.104931	235.816812
01:37:.828	0.109604	236.901020
01:38:.132	0.084182	238.092072
01:38:.431	0.105507	239.225407
01:38:.741	0.111965	240.325028
01:39:.048	0.015587	241.568332
01:39:.347	0.037699	242.653772
01:39:.663	0.076267	243.768180
01:39:.975	0.114664	244.873495
01:40:.291	0.164683	245.945183
01:40:.607	0.152294	247.091914
01:40:.917	0.101725	248.264460
01:41:.221	0.175164	249.399556
01:41:.536	0.218018	250.481656
01:41:.861	0.114169	251.683213
01:42:.164	0.167333	252.816633
01:42:.468	0.165064	253.972294
01:42:.766	0.107255	255.145903
01:43:.081	0.129518	256.290146
01:43:.413	0.178822	257.369321
01:43:.724	0.155730	258.496052
01:44:.024	0.125555	259.618135
01:44:.346	0.074994	260.694974
01:44:.656	0.092151	261.877212
01:44:.970	0.093943	263.023691
01:45:.287	0.114178	264.155299
01:45:.598	0.050880	265.305497
01:45:.913	0.024316	266.508643
01:46:.236	-0.021443	267.603135
01:46:.565	0.010019	268.815234
01:46:.874	0.036520	270.009185
01:47:.200	-0.014213	271.160527
01:47:.518	-0.004241	272.356538
01:47:.823	-0.040795	273.498714
01:48:.153	-0.025547	274.578423
01:48:.464	0.006803	275.739681
01:48:.778	0.005082	276.872660
01:49:.083	0.014545	278.026551
01:49:.425	0.018817	279.069154
01:49:.743	-0.028965	280.394351
01:50:.071	0.007324	281.559616
01:50:.383	-0.004602	282.682457
01:50:.709	-0.035520	283.788907
01:51:.037	-0.021323	284.959517
01:51:.356	-0.083600	286.102589
01:51:.661	-0.046684	287.162297
01:51:.975	0.001520	288.227909
01:52:.279	-0.023043	289.307344
01:52:.577	0.047055	290.317786
01:52:.877	0.036792	291.368200
01:53:.180	0.035721	292.468670
01:53:.478	0.017657	293.534315
01:53:.788	0.036445	294.568924
01:54:.102	0.040851	295.709039
