MP30_TEST_356P_T Side_Top_MIRROR DETECT	Bond Gap: 200 Microns
Time	Force (mN)	Averaged CDS (microns)
04:34:.994	0.120215	867.695698
04:35:.296	0.260870	868.736762
04:35:.618	0.182180	869.842888
04:35:.912	0.351874	870.874155
04:36:.201	0.673081	871.804652
04:36:.513	1.284739	872.456505
04:36:.793	1.918502	873.211767
04:37:.077	2.685429	873.762829
04:37:.382	3.678782	874.227255
04:37:.670	4.617652	874.807575
04:37:.993	6.074871	875.219345
